Label,temperature,treatment,cage,survival,sex,individual,trait,Length
FO_18_NP_2_6_M_56_W_.tif,18,NP,2,6,M,56,W,1.796
FO_18_NP_2_6_M_57_T_.tif,18,NP,2,6,M,57,T,0.997
FO_18_NP_2_6_M_57_L_.tif,18,NP,2,6,M,57,L,0.681
FO_18_NP_2_6_M_57_L_.tif,18,NP,2,6,M,57,L,0.665
FO_18_NP_2_6_M_57_W_.tif,18,NP,2,6,M,57,W,1.759
FO_18_NP_2_6_F_58_T_.tif,18,NP,2,6,F,58,T,1.087
FO_18_NP_2_6_F_58_L_.tif,18,NP,2,6,F,58,L,0.711
FO_18_NP_2_6_F_58_L_.tif,18,NP,2,6,F,58,L,0.713
FO_18_NP_2_6_F_58_W_.tif,18,NP,2,6,F,58,W,2.018
FO_18_NP_2_6_M_59_T_.tif,18,NP,2,6,M,59,T,0.941
FO_18_NP_2_6_M_59_L_.tif,18,NP,2,6,M,59,L,0.681
FO_18_NP_2_6_M_59_L_.tif,18,NP,2,6,M,59,L,0.659
FO_18_NP_2_6_M_59_W_.tif,18,NP,2,6,M,59,W,1.756
FO_18_NP_2_6_F_60_T_.tif,18,NP,2,6,F,60,T,1.016
FO_18_NP_2_6_F_60_L_.tif,18,NP,2,6,F,60,L,0.671
FO_18_NP_2_6_F_60_L_.tif,18,NP,2,6,F,60,L,0.648
FO_18_NP_2_6_F_60_W_.tif,18,NP,2,6,F,60,W,1.946
FO_18_NP_2_6_M_61_T_.tif,18,NP,2,6,M,61,T,0.914
FO_18_NP_2_6_M_61_L_.tif,18,NP,2,6,M,61,L,0.642
FO_18_NP_2_6_M_61_L_.tif,18,NP,2,6,M,61,L,0.627
FO_18_NP_2_6_M_61_W_.tif,18,NP,2,6,M,61,W,1.692
FO_18_NP_2_6_F_62_T_.tif,18,NP,2,6,F,62,T,1.079
FO_18_NP_2_6_F_62_L_.tif,18,NP,2,6,F,62,L,0.726
FO_18_NP_2_6_F_62_L_.tif,18,NP,2,6,F,62,L,0.677
FO_18_NP_2_6_F_30_T_.tif,18,NP,2,6,F,30,T,1.088
FO_18_NP_2_6_F_30_L_.tif,18,NP,2,6,F,30,L,0.7
FO_18_NP_2_6_F_30_L_.tif,18,NP,2,6,F,30,L,0.672
FO_18_NP_2_6_F_30_W_.tif,18,NP,2,6,F,30,W,2.008
FO_18_NP_2_6_M_31_T_.tif,18,NP,2,6,M,31,T,0.912
FO_18_NP_2_6_M_31_L_.tif,18,NP,2,6,M,31,L,0.673
FO_18_NP_2_6_M_31_L_.tif,18,NP,2,6,M,31,L,0.613
FO_18_NP_2_6_M_31_W_.tif,18,NP,2,6,M,31,W,1.722
FO_18_NP_2_6_F_32_T_.tif,18,NP,2,6,F,32,T,1.065
FO_18_NP_2_6_F_32_L_.tif,18,NP,2,6,F,32,L,0.716
FO_18_NP_2_6_F_32_L_.tif,18,NP,2,6,F,32,L,0.701
FO_18_NP_2_6_F_32_W_.tif,18,NP,2,6,F,32,W,2.016
FO_18_NP_2_6_F_33_T_.tif,18,NP,2,6,F,33,T,1.035
FO_18_NP_2_6_F_33_L_.tif,18,NP,2,6,F,33,L,0.68
FO_18_NP_2_6_F_33_L_.tif,18,NP,2,6,F,33,L,0.682
FO_18_NP_2_6_F_33_W_.tif,18,NP,2,6,F,33,W,1.919
FO_18_NP_2_6_M_34_T_.tif,18,NP,2,6,M,34,T,0.925
FO_18_NP_2_6_M_34_L_.tif,18,NP,2,6,M,34,L,0.644
FO_18_NP_2_6_M_34_L_.tif,18,NP,2,6,M,34,L,0.599
FO_18_NP_2_6_M_34_W_.tif,18,NP,2,6,M,34,W,1.779
FO_18_NP_2_6_M_35_T_.tif,18,NP,2,6,M,35,T,0.961
FO_18_NP_2_6_M_35_L_.tif,18,NP,2,6,M,35,L,0.677
FO_18_NP_2_6_M_35_L_.tif,18,NP,2,6,M,35,L,0.675
FO_18_NP_2_6_M_35_W_.tif,18,NP,2,6,M,35,W,1.814
FO_18_NP_2_6_F_36_T_.tif,18,NP,2,6,F,36,T,1.03
